"UF";"Estado";"Indicador";"Ano";"Quadrimestre";"Equipe";"Numerador";"Denominador_Informado";"Denominador_Estimado";"Indicador_calculado";"Tempo";"REGIAO"
"ES";"ESPÍRITO SANTO";4;2018;"Q1";"todas";"62959";"417971";"633744";"0.1";"2018Q1";"Sudeste"
"GO";"GOIÁS";4;2018;"Q1";"todas";"60440";"668530";"1102664";"0.05";"2018Q1";"Centro-Oeste"
"MA";"MARANHÃO";4;2018;"Q1";"todas";"78809";"804536";"1206813";"0.07";"2018Q1";"Nordeste"
"MG";"MINAS GERAIS";4;2018;"Q1";"todas";"466121";"2782804";"4378635";"0.11";"2018Q1";"Sudeste"
"MS";"MATO GROSSO DO SUL";4;2018;"Q1";"todas";"59003";"347025";"523618";"0.11";"2018Q1";"Centro-Oeste"
"MT";"MATO GROSSO";4;2018;"Q1";"todas";"66010";"459383";"525316";"0.13";"2018Q1";"Centro-Oeste"
"PA";"PARÁ";4;2018;"Q1";"todas";"51199";"584200";"1160707";"0.04";"2018Q1";"Norte"
"PB";"PARAÍBA";4;2018;"Q1";"todas";"118324";"660500";"920660";"0.13";"2018Q1";"Nordeste"
"PE";"PERNAMBUCO";4;2018;"Q1";"todas";"175030";"1192650";"1903454";"0.09";"2018Q1";"Nordeste"
"PI";"PIAUÍ";4;2018;"Q1";"todas";"85965";"555489";"745805";"0.12";"2018Q1";"Nordeste"
"PR";"PARANÁ";4;2018;"Q1";"todas";"202268";"1626126";"2182822";"0.09";"2018Q1";"Sul"
"RJ";"RIO DE JANEIRO";4;2018;"Q1";"todas";"106663";"1066416";"3101410";"0.03";"2018Q1";"Sudeste"
"RN";"RIO GRANDE DO NORTE";4;2018;"Q1";"todas";"73252";"459929";"681542";"0.11";"2018Q1";"Nordeste"
"RO";"RONDÔNIA";4;2018;"Q1";"todas";"35911";"249250";"286501";"0.13";"2018Q1";"Norte"
"RR";"RORAIMA";4;2018;"Q1";"todas";"5037";"55525";"63077";"0.08";"2018Q1";"Norte"
"RS";"RIO GRANDE DO SUL";4;2018;"Q1";"todas";"254312";"1296835";"2023968";"0.13";"2018Q1";"Sul"
"SC";"SANTA CATARINA";4;2018;"Q1";"todas";"253068";"1365925";"1464594";"0.17";"2018Q1";"Sul"
"SE";"SERGIPE";4;2018;"Q1";"todas";"28740";"235535";"457889";"0.06";"2018Q1";"Nordeste"
"SP";"SÃO PAULO";4;2018;"Q1";"todas";"473649";"3436746";"5683823";"0.08";"2018Q1";"Sudeste"
"TO";"TOCANTINS";4;2018;"Q1";"todas";"31665";"258235";"291409";"0.11";"2018Q1";"Norte"
"AC";"ACRE";4;2018;"Q2";"todas";"25015";"119055";"122287";"0.2";"2018Q2";"Norte"
"AL";"ALAGOAS";4;2018;"Q2";"todas";"74906";"488431";"565088";"0.13";"2018Q2";"Nordeste"
"AM";"AMAZONAS";4;2018;"Q2";"todas";"72031";"415185";"407328";"0.17";"2018Q2";"Norte"
"AP";"AMAPÁ";4;2018;"Q2";"todas";"1061";"35991";"100780";"0.01";"2018Q2";"Norte"
"BA";"BAHIA";4;2018;"Q2";"todas";"258861";"1962764";"2767941";"0.09";"2018Q2";"Nordeste"
"CE";"CEARÁ";4;2018;"Q2";"todas";"240348";"1377608";"1786474";"0.13";"2018Q2";"Nordeste"
"DF";"DISTRITO FEDERAL";4;2018;"Q2";"todas";"7861";"131677";"399727";"0.02";"2018Q2";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";4;2018;"Q2";"todas";"68937";"452315";"634384";"0.11";"2018Q2";"Sudeste"
"GO";"GOIÁS";4;2018;"Q2";"todas";"68348";"733399";"1118134";"0.06";"2018Q2";"Centro-Oeste"
"MA";"MARANHÃO";4;2018;"Q2";"todas";"92530";"880268";"1206202";"0.08";"2018Q2";"Nordeste"
"MG";"MINAS GERAIS";4;2018;"Q2";"todas";"525433";"2974735";"4415918";"0.12";"2018Q2";"Sudeste"
"MS";"MATO GROSSO DO SUL";4;2018;"Q2";"todas";"64036";"372701";"527660";"0.12";"2018Q2";"Centro-Oeste"
"MT";"MATO GROSSO";4;2018;"Q2";"todas";"77104";"502804";"524502";"0.15";"2018Q2";"Centro-Oeste"
"PA";"PARÁ";4;2018;"Q2";"todas";"61039";"652883";"1179498";"0.05";"2018Q2";"Norte"
"PB";"PARAÍBA";4;2018;"Q2";"todas";"127875";"699699";"925511";"0.14";"2018Q2";"Nordeste"
"PE";"PERNAMBUCO";4;2018;"Q2";"todas";"204947";"1305808";"1910263";"0.11";"2018Q2";"Nordeste"
"PI";"PIAUÍ";4;2018;"Q2";"todas";"94950";"595313";"746698";"0.13";"2018Q2";"Nordeste"
"PR";"PARANÁ";4;2018;"Q2";"todas";"220918";"1747452";"2199629";"0.1";"2018Q2";"Sul"
"RJ";"RIO DE JANEIRO";4;2018;"Q2";"todas";"123207";"1161821";"3134054";"0.04";"2018Q2";"Sudeste"
"RN";"RIO GRANDE DO NORTE";4;2018;"Q2";"todas";"82520";"494402";"685553";"0.12";"2018Q2";"Nordeste"
"RO";"RONDÔNIA";4;2018;"Q2";"todas";"39981";"269808";"291353";"0.14";"2018Q2";"Norte"
"RR";"RORAIMA";4;2018;"Q2";"todas";"5837";"61106";"60583";"0.1";"2018Q2";"Norte"
"RS";"RIO GRANDE DO SUL";4;2018;"Q2";"todas";"275110";"1382177";"2036376";"0.14";"2018Q2";"Sul"
"SC";"SANTA CATARINA";4;2018;"Q2";"todas";"282298";"1433959";"1484147";"0.19";"2018Q2";"Sul"
"SE";"SERGIPE";4;2018;"Q2";"todas";"31909";"254521";"461256";"0.07";"2018Q2";"Nordeste"
"SP";"SÃO PAULO";4;2018;"Q2";"todas";"535488";"3796025";"5809995";"0.09";"2018Q2";"Sudeste"
"TO";"TOCANTINS";4;2018;"Q2";"todas";"35189";"273665";"293641";"0.12";"2018Q2";"Norte"
"AC";"ACRE";4;2018;"Q3";"todas";"27664";"125498";"121815";"0.22";"2018Q3";"Norte"
"AL";"ALAGOAS";4;2018;"Q3";"todas";"85976";"506011";"566197";"0.15";"2018Q3";"Nordeste"
"AM";"AMAZONAS";4;2018;"Q3";"todas";"81653";"441125";"410699";"0.19";"2018Q3";"Norte"
"AP";"AMAPÁ";4;2018;"Q3";"todas";"1364";"40684";"98629";"0.01";"2018Q3";"Norte"
"BA";"BAHIA";4;2018;"Q3";"todas";"291005";"2080368";"2784167";"0.1";"2018Q3";"Nordeste"
"CE";"CEARÁ";4;2018;"Q3";"todas";"267129";"1454304";"1789498";"0.15";"2018Q3";"Nordeste"
"DF";"DISTRITO FEDERAL";4;2018;"Q3";"todas";"14084";"190489";"513241";"0.03";"2018Q3";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";4;2018;"Q3";"todas";"78954";"481933";"639211";"0.12";"2018Q3";"Sudeste"
"GO";"GOIÁS";4;2018;"Q3";"todas";"77006";"788923";"1123617";"0.07";"2018Q3";"Centro-Oeste"
"MA";"MARANHÃO";4;2018;"Q3";"todas";"104674";"936926";"1207304";"0.09";"2018Q3";"Nordeste"
"MG";"MINAS GERAIS";4;2018;"Q3";"todas";"584227";"3215478";"4468724";"0.13";"2018Q3";"Sudeste"
"MS";"MATO GROSSO DO SUL";4;2018;"Q3";"todas";"70936";"406944";"536817";"0.13";"2018Q3";"Centro-Oeste"
"MT";"MATO GROSSO";4;2018;"Q3";"todas";"90249";"530397";"525173";"0.17";"2018Q3";"Centro-Oeste"
"PA";"PARÁ";4;2018;"Q3";"todas";"70925";"705863";"1193399";"0.06";"2018Q3";"Norte"
"PB";"PARAÍBA";4;2018;"Q3";"todas";"134556";"728029";"927692";"0.15";"2018Q3";"Nordeste"
"PE";"PERNAMBUCO";4;2018;"Q3";"todas";"229538";"1380667";"1911556";"0.12";"2018Q3";"Nordeste"
"PI";"PIAUÍ";4;2018;"Q3";"todas";"101796";"624801";"746501";"0.14";"2018Q3";"Nordeste"
"PR";"PARANÁ";4;2018;"Q3";"todas";"249998";"1835533";"2195295";"0.11";"2018Q3";"Sul"
"RJ";"RIO DE JANEIRO";4;2018;"Q3";"todas";"140875";"1252845";"3139251";"0.04";"2018Q3";"Sudeste"
"RN";"RIO GRANDE DO NORTE";4;2018;"Q3";"todas";"90634";"523251";"687000";"0.13";"2018Q3";"Nordeste"
"RO";"RONDÔNIA";4;2018;"Q3";"todas";"44422";"288037";"291279";"0.15";"2018Q3";"Norte"
"RR";"RORAIMA";4;2018;"Q3";"todas";"7109";"69350";"63907";"0.1";"2018Q3";"Norte"
"RS";"RIO GRANDE DO SUL";4;2018;"Q3";"todas";"298563";"1449770";"2041939";"0.15";"2018Q3";"Sul"
"SC";"SANTA CATARINA";4;2018;"Q3";"todas";"311873";"1482235";"1494481";"0.21";"2018Q3";"Sul"
"SE";"SERGIPE";4;2018;"Q3";"todas";"35806";"275307";"465544";"0.08";"2018Q3";"Nordeste"
"SP";"SÃO PAULO";4;2018;"Q3";"todas";"597797";"4101080";"5894816";"0.1";"2018Q3";"Sudeste"
"TO";"TOCANTINS";4;2018;"Q3";"todas";"38795";"286866";"293641";"0.13";"2018Q3";"Norte"
"AC";"ACRE";4;2019;"Q1";"todas";"30198";"131445";"120957";"0.23";"2019Q1";"Norte"
"AL";"ALAGOAS";4;2019;"Q1";"todas";"92231";"522985";"567245";"0.16";"2019Q1";"Nordeste"
"AM";"AMAZONAS";4;2019;"Q1";"todas";"90762";"464819";"408367";"0.2";"2019Q1";"Norte"
"AP";"AMAPÁ";4;2019;"Q1";"todas";"1700";"45589";"98168";"0.02";"2019Q1";"Norte"
"BA";"BAHIA";4;2019;"Q1";"todas";"314339";"2184449";"2817367";"0.11";"2019Q1";"Nordeste"
"CE";"CEARÁ";4;2019;"Q1";"todas";"282233";"1532961";"1794573";"0.16";"2019Q1";"Nordeste"
"DF";"DISTRITO FEDERAL";4;2019;"Q1";"todas";"22258";"242847";"521003";"0.04";"2019Q1";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";4;2019;"Q1";"todas";"86077";"506205";"643557";"0.13";"2019Q1";"Sudeste"
"GO";"GOIÁS";4;2019;"Q1";"todas";"84417";"849207";"1138591";"0.07";"2019Q1";"Centro-Oeste"
"MA";"MARANHÃO";4;2019;"Q1";"todas";"112607";"987849";"1218076";"0.09";"2019Q1";"Nordeste"
"MG";"MINAS GERAIS";4;2019;"Q1";"todas";"631538";"3534900";"4485204";"0.14";"2019Q1";"Sudeste"
"MS";"MATO GROSSO DO SUL";4;2019;"Q1";"todas";"74827";"451844";"543613";"0.14";"2019Q1";"Centro-Oeste"
"MT";"MATO GROSSO";4;2019;"Q1";"todas";"97405";"558673";"531463";"0.17";"2019Q1";"Centro-Oeste"
"PA";"PARÁ";4;2019;"Q1";"todas";"81735";"761519";"1201981";"0.07";"2019Q1";"Norte"
"PB";"PARAÍBA";4;2019;"Q1";"todas";"138664";"756194";"932245";"0.15";"2019Q1";"Nordeste"
"PE";"PERNAMBUCO";4;2019;"Q1";"todas";"245757";"1454649";"1924002";"0.13";"2019Q1";"Nordeste"
"PI";"PIAUÍ";4;2019;"Q1";"todas";"106658";"653423";"748570";"0.14";"2019Q1";"Nordeste"
"PR";"PARANÁ";4;2019;"Q1";"todas";"269431";"1915578";"2190669";"0.12";"2019Q1";"Sul"
"RJ";"RIO DE JANEIRO";4;2019;"Q1";"todas";"153184";"1335892";"3150276";"0.05";"2019Q1";"Sudeste"
"RN";"RIO GRANDE DO NORTE";4;2019;"Q1";"todas";"96613";"548429";"687472";"0.14";"2019Q1";"Nordeste"
"RO";"RONDÔNIA";4;2019;"Q1";"todas";"46776";"303772";"293210";"0.15";"2019Q1";"Norte"
"RR";"RORAIMA";4;2019;"Q1";"todas";"9280";"77940";"65446";"0.12";"2019Q1";"Norte"
"RS";"RIO GRANDE DO SUL";4;2019;"Q1";"todas";"315722";"1511270";"2049151";"0.15";"2019Q1";"Sul"
"SC";"SANTA CATARINA";4;2019;"Q1";"todas";"327989";"1548647";"1521493";"0.21";"2019Q1";"Sul"
"SE";"SERGIPE";4;2019;"Q1";"todas";"40569";"302888";"468062";"0.09";"2019Q1";"Nordeste"
"SP";"SÃO PAULO";4;2019;"Q1";"todas";"637612";"4392632";"5987264";"0.11";"2019Q1";"Sudeste"
"TO";"TOCANTINS";4;2019;"Q1";"todas";"37986";"298733";"296223";"0.13";"2019Q1";"Norte"
"AC";"ACRE";4;2019;"Q2";"todas";"32226";"138214";"121466";"0.23";"2019Q2";"Norte"
"AL";"ALAGOAS";4;2019;"Q2";"todas";"99139";"537933";"563165";"0.18";"2019Q2";"Nordeste"
"AM";"AMAZONAS";4;2019;"Q2";"todas";"100418";"494225";"413213";"0.2";"2019Q2";"Norte"
"AP";"AMAPÁ";4;2019;"Q2";"todas";"2252";"50347";"96017";"0.02";"2019Q2";"Norte"
"BA";"BAHIA";4;2019;"Q2";"todas";"337479";"2294896";"2837529";"0.12";"2019Q2";"Nordeste"
"CE";"CEARÁ";4;2019;"Q2";"todas";"298973";"1615862";"1801876";"0.17";"2019Q2";"Nordeste"
"DF";"DISTRITO FEDERAL";4;2019;"Q2";"todas";"29390";"278376";"519062";"0.06";"2019Q2";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";4;2019;"Q2";"todas";"94257";"531320";"644774";"0.15";"2019Q2";"Sudeste"
"GO";"GOIÁS";4;2019;"Q2";"todas";"89057";"909518";"1152252";"0.08";"2019Q2";"Centro-Oeste"
"MA";"MARANHÃO";4;2019;"Q2";"todas";"120850";"1040301";"1214124";"0.1";"2019Q2";"Nordeste"
"MG";"MINAS GERAIS";4;2019;"Q2";"todas";"681343";"3797124";"4499604";"0.15";"2019Q2";"Sudeste"
"MS";"MATO GROSSO DO SUL";4;2019;"Q2";"todas";"76778";"473888";"542088";"0.14";"2019Q2";"Centro-Oeste"
"MT";"MATO GROSSO";4;2019;"Q2";"todas";"103233";"588781";"531516";"0.18";"2019Q2";"Centro-Oeste"
"PA";"PARÁ";4;2019;"Q2";"todas";"90642";"819779";"1206177";"0.08";"2019Q2";"Norte"
"PB";"PARAÍBA";4;2019;"Q2";"todas";"142801";"781912";"932444";"0.15";"2019Q2";"Nordeste"
"PE";"PERNAMBUCO";4;2019;"Q2";"todas";"257524";"1532180";"1929157";"0.13";"2019Q2";"Nordeste"
"PI";"PIAUÍ";4;2019;"Q2";"todas";"111594";"679923";"748663";"0.15";"2019Q2";"Nordeste"
"PR";"PARANÁ";4;2019;"Q2";"todas";"290808";"2004196";"2204374";"0.13";"2019Q2";"Sul"
"RJ";"RIO DE JANEIRO";4;2019;"Q2";"todas";"173370";"1470366";"3162363";"0.05";"2019Q2";"Sudeste"
"RN";"RIO GRANDE DO NORTE";4;2019;"Q2";"todas";"102834";"576014";"687475";"0.15";"2019Q2";"Nordeste"
"RO";"RONDÔNIA";4;2019;"Q2";"todas";"48559";"320007";"290606";"0.15";"2019Q2";"Norte"
"RR";"RORAIMA";4;2019;"Q2";"todas";"10730";"85074";"64984";"0.13";"2019Q2";"Norte"
"RS";"RIO GRANDE DO SUL";4;2019;"Q2";"todas";"330780";"1577893";"2052450";"0.16";"2019Q2";"Sul"
"SC";"SANTA CATARINA";4;2019;"Q2";"todas";"344731";"1613029";"1535115";"0.21";"2019Q2";"Sul"
"SE";"SERGIPE";4;2019;"Q2";"todas";"46008";"329838";"468080";"0.1";"2019Q2";"Nordeste"
"SP";"SÃO PAULO";4;2019;"Q2";"todas";"675869";"4672699";"6019160";"0.11";"2019Q2";"Sudeste"
"TO";"TOCANTINS";4;2019;"Q2";"todas";"38279";"310223";"296320";"0.12";"2019Q2";"Norte"
"AC";"ACRE";4;2019;"Q3";"todas";"34957";"141332";"122408";"0.25";"2019Q3";"Norte"
"AL";"ALAGOAS";4;2019;"Q3";"todas";"111259";"556935";"567856";"0.2";"2019Q3";"Nordeste"
"AM";"AMAZONAS";4;2019;"Q3";"todas";"110527";"505730";"399709";"0.22";"2019Q3";"Norte"
"AP";"AMAPÁ";4;2019;"Q3";"todas";"2871";"56152";"101522";"0.03";"2019Q3";"Norte"
"BA";"BAHIA";4;2019;"Q3";"todas";"367468";"2386131";"2813149";"0.13";"2019Q3";"Nordeste"
"CE";"CEARÁ";4;2019;"Q3";"todas";"323838";"1707493";"1812885";"0.18";"2019Q3";"Nordeste"
"DF";"DISTRITO FEDERAL";4;2019;"Q3";"todas";"35187";"299730";"495777";"0.07";"2019Q3";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";4;2019;"Q3";"todas";"106280";"566228";"670660";"0.16";"2019Q3";"Sudeste"
"GO";"GOIÁS";4;2019;"Q3";"todas";"97204";"963625";"1168967";"0.08";"2019Q3";"Centro-Oeste"
"MA";"MARANHÃO";4;2019;"Q3";"todas";"133752";"1094772";"1244326";"0.11";"2019Q3";"Nordeste"
"MG";"MINAS GERAIS";4;2019;"Q3";"todas";"749265";"4050258";"4519608";"0.17";"2019Q3";"Sudeste"
"MS";"MATO GROSSO DO SUL";4;2019;"Q3";"todas";"82199";"495756";"555911";"0.15";"2019Q3";"Centro-Oeste"
"MT";"MATO GROSSO";4;2019;"Q3";"todas";"113871";"615250";"540331";"0.19";"2019Q3";"Centro-Oeste"
"PA";"PARÁ";4;2019;"Q3";"todas";"102516";"862256";"1202783";"0.09";"2019Q3";"Norte"
"PB";"PARAÍBA";4;2019;"Q3";"todas";"152988";"813374";"937758";"0.16";"2019Q3";"Nordeste"
"PE";"PERNAMBUCO";4;2019;"Q3";"todas";"280251";"1613177";"1939811";"0.14";"2019Q3";"Nordeste"
"PI";"PIAUÍ";4;2019;"Q3";"todas";"120260";"717225";"749179";"0.16";"2019Q3";"Nordeste"
"PR";"PARANÁ";4;2019;"Q3";"todas";"326197";"2059154";"2161032";"0.15";"2019Q3";"Sul"
"RJ";"RIO DE JANEIRO";4;2019;"Q3";"todas";"197363";"1594594";"3156430";"0.06";"2019Q3";"Sudeste"
"RN";"RIO GRANDE DO NORTE";4;2019;"Q3";"todas";"109008";"594763";"671219";"0.16";"2019Q3";"Nordeste"
"RO";"RONDÔNIA";4;2019;"Q3";"todas";"51932";"331853";"286750";"0.16";"2019Q3";"Norte"
"RR";"RORAIMA";4;2019;"Q3";"todas";"12776";"91067";"66158";"0.14";"2019Q3";"Norte"
"RS";"RIO GRANDE DO SUL";4;2019;"Q3";"todas";"349868";"1639599";"2121206";"0.16";"2019Q3";"Sul"
"SC";"SANTA CATARINA";4;2019;"Q3";"todas";"360897";"1649926";"1553289";"0.22";"2019Q3";"Sul"
"SE";"SERGIPE";4;2019;"Q3";"todas";"53551";"358259";"473519";"0.11";"2019Q3";"Nordeste"
"SP";"SÃO PAULO";4;2019;"Q3";"todas";"697445";"4899916";"6026231";"0.12";"2019Q3";"Sudeste"
"TO";"TOCANTINS";4;2019;"Q3";"todas";"41093";"321742";"299855";"0.13";"2019Q3";"Norte"
"AC";"ACRE";4;2020;"Q1";"todas";"35449";"146189";"122041";"0.24";"2020Q1";"Norte"
"AL";"ALAGOAS";4;2020;"Q1";"todas";"113060";"569021";"568383";"0.2";"2020Q1";"Nordeste"
"AM";"AMAZONAS";4;2020;"Q1";"todas";"118835";"533598";"425328";"0.22";"2020Q1";"Norte"
"AP";"AMAPÁ";4;2020;"Q1";"todas";"3678";"64531";"106993";"0.03";"2020Q1";"Norte"
"BA";"BAHIA";4;2020;"Q1";"todas";"376145";"2509700";"2945616";"0.13";"2020Q1";"Nordeste"
"CE";"CEARÁ";4;2020;"Q1";"todas";"334923";"1781654";"1819132";"0.18";"2020Q1";"Nordeste"
"DF";"DISTRITO FEDERAL";4;2020;"Q1";"todas";"40050";"326021";"537496";"0.07";"2020Q1";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";4;2020;"Q1";"todas";"113334";"599431";"748203";"0.15";"2020Q1";"Sudeste"
"GO";"GOIÁS";4;2020;"Q1";"todas";"100624";"1013653";"1193620";"0.08";"2020Q1";"Centro-Oeste"
"MA";"MARANHÃO";4;2020;"Q1";"todas";"139609";"1167150";"1253761";"0.11";"2020Q1";"Nordeste"
"MG";"MINAS GERAIS";4;2020;"Q1";"todas";"758932";"4333220";"4598310";"0.17";"2020Q1";"Sudeste"
"MS";"MATO GROSSO DO SUL";4;2020;"Q1";"todas";"82501";"519849";"573415";"0.14";"2020Q1";"Centro-Oeste"
"MT";"MATO GROSSO";4;2020;"Q1";"todas";"115794";"643195";"549889";"0.18";"2020Q1";"Centro-Oeste"
"PA";"PARÁ";4;2020;"Q1";"todas";"110089";"953163";"1210870";"0.09";"2020Q1";"Norte"
"PB";"PARAÍBA";4;2020;"Q1";"todas";"152354";"842900";"937694";"0.16";"2020Q1";"Nordeste"
"PE";"PERNAMBUCO";4;2020;"Q1";"todas";"284955";"1695428";"1970817";"0.14";"2020Q1";"Nordeste"
"PI";"PIAUÍ";4;2020;"Q1";"todas";"122627";"745597";"749180";"0.16";"2020Q1";"Nordeste"
"PR";"PARANÁ";4;2020;"Q1";"todas";"336659";"2225261";"2284663";"0.15";"2020Q1";"Sul"
"RJ";"RIO DE JANEIRO";4;2020;"Q1";"todas";"206508";"1780245";"3251724";"0.06";"2020Q1";"Sudeste"
"RN";"RIO GRANDE DO NORTE";4;2020;"Q1";"todas";"111820";"630163";"697975";"0.16";"2020Q1";"Nordeste"
"RO";"RONDÔNIA";4;2020;"Q1";"todas";"52054";"337864";"295450";"0.15";"2020Q1";"Norte"
"RR";"RORAIMA";4;2020;"Q1";"todas";"13704";"96416";"67474";"0.14";"2020Q1";"Norte"
"RS";"RIO GRANDE DO SUL";4;2020;"Q1";"todas";"356702";"1710869";"2239762";"0.16";"2020Q1";"Sul"
"SC";"SANTA CATARINA";4;2020;"Q1";"todas";"362088";"1707604";"1584987";"0.21";"2020Q1";"Sul"
"SE";"SERGIPE";4;2020;"Q1";"todas";"56872";"401118";"476305";"0.12";"2020Q1";"Nordeste"
"SP";"SÃO PAULO";4;2020;"Q1";"todas";"710389";"5236695";"6538267";"0.11";"2020Q1";"Sudeste"
"TO";"TOCANTINS";4;2020;"Q1";"todas";"40595";"327958";"300576";"0.12";"2020Q1";"Norte"
"AC";"ACRE";4;2020;"Q2";"todas";"33137";"149460";"117981";"0.22";"2020Q2";"Norte"
"AL";"ALAGOAS";4;2020;"Q2";"todas";"108266";"585331";"565110";"0.18";"2020Q2";"Nordeste"
"AM";"AMAZONAS";4;2020;"Q2";"todas";"121935";"575383";"441561";"0.21";"2020Q2";"Norte"
"AP";"AMAPÁ";4;2020;"Q2";"todas";"3927";"75637";"88753";"0.04";"2020Q2";"Norte"
"BA";"BAHIA";4;2020;"Q2";"todas";"358509";"2794101";"2772508";"0.13";"2020Q2";"Nordeste"
"CE";"CEARÁ";4;2020;"Q2";"todas";"326162";"1865913";"1804829";"0.17";"2020Q2";"Nordeste"
"DF";"DISTRITO FEDERAL";4;2020;"Q2";"todas";"42087";"379395";"469582";"0.09";"2020Q2";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";4;2020;"Q2";"todas";"110233";"643587";"718286";"0.15";"2020Q2";"Sudeste"
"GO";"GOIÁS";4;2020;"Q2";"todas";"98788";"1109619";"1183083";"0.08";"2020Q2";"Centro-Oeste"
"MA";"MARANHÃO";4;2020;"Q2";"todas";"133036";"1224117";"1228876";"0.11";"2020Q2";"Nordeste"
"MG";"MINAS GERAIS";4;2020;"Q2";"todas";"742292";"4584190";"4560851";"0.16";"2020Q2";"Sudeste"
"MS";"MATO GROSSO DO SUL";4;2020;"Q2";"todas";"79559";"545497";"518803";"0.15";"2020Q2";"Centro-Oeste"
"MT";"MATO GROSSO";4;2020;"Q2";"todas";"112408";"668831";"527049";"0.17";"2020Q2";"Centro-Oeste"
"PA";"PARÁ";4;2020;"Q2";"todas";"109352";"1046893";"995037";"0.1";"2020Q2";"Norte"
"PB";"PARAÍBA";4;2020;"Q2";"todas";"143954";"872627";"935492";"0.15";"2020Q2";"Nordeste"
"PE";"PERNAMBUCO";4;2020;"Q2";"todas";"276192";"1772476";"1812864";"0.15";"2020Q2";"Nordeste"
"PI";"PIAUÍ";4;2020;"Q2";"todas";"114625";"767351";"749179";"0.15";"2020Q2";"Nordeste"
"PR";"PARANÁ";4;2020;"Q2";"todas";"331641";"2268777";"2115461";"0.15";"2020Q2";"Sul"
"RJ";"RIO DE JANEIRO";4;2020;"Q2";"todas";"208510";"2351772";"3150480";"0.07";"2020Q2";"Sudeste"
"RN";"RIO GRANDE DO NORTE";4;2020;"Q2";"todas";"108118";"663744";"693293";"0.16";"2020Q2";"Nordeste"
"RO";"RONDÔNIA";4;2020;"Q2";"todas";"49650";"347641";"278858";"0.14";"2020Q2";"Norte"
"RR";"RORAIMA";4;2020;"Q2";"todas";"13690";"103654";"67246";"0.13";"2020Q2";"Norte"
"RS";"RIO GRANDE DO SUL";4;2020;"Q2";"todas";"354397";"1793900";"2184417";"0.16";"2020Q2";"Sul"
"SC";"SANTA CATARINA";4;2020;"Q2";"todas";"348011";"1759387";"1564598";"0.2";"2020Q2";"Sul"
"SE";"SERGIPE";4;2020;"Q2";"todas";"55579";"444369";"465698";"0.12";"2020Q2";"Nordeste"
"SP";"SÃO PAULO";4;2020;"Q2";"todas";"688775";"5857557";"6066367";"0.11";"2020Q2";"Sudeste"
"TO";"TOCANTINS";4;2020;"Q2";"todas";"38443";"337495";"299697";"0.11";"2020Q2";"Norte"
"AC";"ACRE";4;2020;"Q3";"todas";"31217";"154198";"127133";"0.2";"2020Q3";"Norte"
"AL";"ALAGOAS";4;2020;"Q3";"todas";"112887";"607402";"566347";"0.19";"2020Q3";"Nordeste"
"AM";"AMAZONAS";4;2020;"Q3";"todas";"128500";"612114";"462092";"0.21";"2020Q3";"Norte"
"AP";"AMAPÁ";4;2020;"Q3";"todas";"4450";"83939";"88753";"0.05";"2020Q3";"Norte"
"BA";"BAHIA";4;2020;"Q3";"todas";"359174";"2975372";"2782900";"0.12";"2020Q3";"Nordeste"
"CE";"CEARÁ";4;2020;"Q3";"todas";"340442";"1943827";"1805852";"0.18";"2020Q3";"Nordeste"
"DF";"DISTRITO FEDERAL";4;2020;"Q3";"todas";"47936";"418864";"469582";"0.1";"2020Q3";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";4;2020;"Q3";"todas";"122765";"698037";"764937";"0.16";"2020Q3";"Sudeste"
"GO";"GOIÁS";4;2020;"Q3";"todas";"103063";"1164965";"1183786";"0.09";"2020Q3";"Centro-Oeste"
"MA";"MARANHÃO";4;2020;"Q3";"todas";"133085";"1288755";"1234230";"0.1";"2020Q3";"Nordeste"
"MG";"MINAS GERAIS";4;2020;"Q3";"todas";"757843";"4718006";"4569881";"0.16";"2020Q3";"Sudeste"
"MS";"MATO GROSSO DO SUL";4;2020;"Q3";"todas";"81722";"582120";"526409";"0.14";"2020Q3";"Centro-Oeste"
"MT";"MATO GROSSO";4;2020;"Q3";"todas";"116862";"689791";"529088";"0.17";"2020Q3";"Centro-Oeste"
"PA";"PARÁ";4;2020;"Q3";"todas";"112868";"1113518";"1000289";"0.1";"2020Q3";"Norte"
"PB";"PARAÍBA";4;2020;"Q3";"todas";"146880";"899656";"935613";"0.16";"2020Q3";"Nordeste"
"PE";"PERNAMBUCO";4;2020;"Q3";"todas";"281636";"1831448";"1818926";"0.15";"2020Q3";"Nordeste"
"PI";"PIAUÍ";4;2020;"Q3";"todas";"112166";"795473";"749177";"0.14";"2020Q3";"Nordeste"
"PR";"PARANÁ";4;2020;"Q3";"todas";"357887";"2503030";"2133625";"0.14";"2020Q3";"Sul"
"RJ";"RIO DE JANEIRO";4;2020;"Q3";"todas";"249556";"2511564";"3162641";"0.08";"2020Q3";"Sudeste"
"RN";"RIO GRANDE DO NORTE";4;2020;"Q3";"todas";"108337";"693181";"695250";"0.16";"2020Q3";"Nordeste"
