"UF";"Estado";"Indicador";"Ano";"Quadrimestre";"Equipe";"Numerador";"Denominador_Informado";"Denominador_Estimado";"Indicador_calculado";"Tempo";"REGIAO"
"ES";"ESPÍRITO SANTO";3;2019;"Q2";"todas";"1117";"4538";"10057";"0.11";"2019Q2";"Sudeste"
"GO";"GOIÁS";3;2019;"Q2";"todas";"1805";"11057";"20061";"0.09";"2019Q2";"Centro-Oeste"
"MA";"MARANHÃO";3;2019;"Q2";"todas";"3557";"22933";"27902";"0.13";"2019Q2";"Nordeste"
"MG";"MINAS GERAIS";3;2019;"Q2";"todas";"10482";"40420";"61432";"0.17";"2019Q2";"Sudeste"
"MS";"MATO GROSSO DO SUL";3;2019;"Q2";"todas";"2090";"6004";"10489";"0.2";"2019Q2";"Centro-Oeste"
"MT";"MATO GROSSO";3;2019;"Q2";"todas";"1656";"9838";"11059";"0.15";"2019Q2";"Centro-Oeste"
"PA";"PARÁ";3;2019;"Q2";"todas";"3772";"23445";"30202";"0.12";"2019Q2";"Norte"
"PB";"PARAÍBA";3;2019;"Q2";"todas";"4190";"13035";"15078";"0.28";"2019Q2";"Nordeste"
"PE";"PERNAMBUCO";3;2019;"Q2";"todas";"7445";"24782";"31223";"0.24";"2019Q2";"Nordeste"
"PI";"PIAUÍ";3;2019;"Q2";"todas";"3030";"10986";"13338";"0.23";"2019Q2";"Nordeste"
"PR";"PARANÁ";3;2019;"Q2";"todas";"10271";"26125";"34686";"0.3";"2019Q2";"Sul"
"RJ";"RIO DE JANEIRO";3;2019;"Q2";"todas";"3712";"16309";"42972";"0.09";"2019Q2";"Sudeste"
"RN";"RIO GRANDE DO NORTE";3;2019;"Q2";"todas";"2404";"9115";"10866";"0.22";"2019Q2";"Nordeste"
"RO";"RONDÔNIA";3;2019;"Q2";"todas";"437";"6024";"6151";"0.07";"2019Q2";"Norte"
"RR";"RORAIMA";3;2019;"Q2";"todas";"431";"2795";"2402";"0.15";"2019Q2";"Norte"
"RS";"RIO GRANDE DO SUL";3;2019;"Q2";"todas";"3779";"16155";"26681";"0.14";"2019Q2";"Sul"
"SC";"SANTA CATARINA";3;2019;"Q2";"todas";"4840";"16882";"23951";"0.2";"2019Q2";"Sul"
"SE";"SERGIPE";3;2019;"Q2";"todas";"1365";"6331";"8360";"0.16";"2019Q2";"Nordeste"
"SP";"SÃO PAULO";3;2019;"Q2";"todas";"17884";"63223";"90026";"0.2";"2019Q2";"Sudeste"
